585,30
616,447
973,210
639,760
949,535
794,373
999,853
666,807
960,186
725,818
956,237
906,165
193,610
795,915
113,643
961,984
277,848
201,993
268,429
582,789
508,250
77,653
491,978
957,400
834,69
814,276
571,65
765,758
821,676
227,789
288,226
592,943
524,353
664,781
407,272
43,708
405,769
432,887
96,700
802,798
897,456
182,420
121,637
816,911
990,578
764,80
792,517
657,728
446,963
201,232
576,116
630,801
352,422
435,730
952,283
931,95
617,215
174,139
375,755
972,208
941,58
899,193
13,757
735,155
402,530
285,681
162,589
268,476
206,860
123,812
319,139
981,288
917,330
764,952
508,439
956,799
122,214
346,780
446,900
540,328
506,367
646,896
815,908
49,707
902,953
241,468
802,711
113,999
712,166
124,550
840,742
26,159
987,751
319,163
453,936
119,756
326,241
974,258
559,921
382,156
875,730
499,682
545,856
831,851
926,223
447,325
722,71
690,275
16,129
359,68
426,358
570,620
666,702
32,896
325,377
833,247
510,369
655,380
778,98
910,643
783,693
336,549
102,219
837,904
636,298
204,47
246,526
201,243
774,641
140,296
765,489
200,996
364,540
600,256
823,328
54,464
305,679
407,776
75,426
347,864
995,531
973,614
194,386
799,415
316,47
789,616
26,292
389,25
36,626
108,362
291,858
974,805
122,948
363,438
403,618
332,768
428,11
171,280
140,286
604,398
238,739
233,468
997,796
8,600
681,907
142,859
802,741
74,244
501,92
384,111
127,720
534,347
610,922
36,665
843,754
470,135
142,242
775,67
576,249
667,419
526,361
418,659
575,910
367,950
308,797
160,61
141,599
505,355
324,538
482,696
401,884
86,484
38,553
46,310
107,789
200,898
742,292
651,665
814,220
879,185
198,791
984,871
678,340
411,835
279,292
839,333
115,350
999,994
394,417
719,992
986,776
516,34
75,300
364,107
276,334
471,279
696,348
118,439
922,754
646,929
684,609
863,801
211,382
347,28
473,725
79,199
579,662
958,181
416,258
217,597
76,443
253,205
40,718
544,102
951,615
865,298
165,794
878,947
314,999
996,330
705,203
258,706
590,468
311,588
317,857
19,772
11,175
259,509
443,487
161,832
611,609
742,938
66,232
601,864
198,60
904,663
187,865
826,717
389,783
988,441
474,298
511,91
807,353
510,109
955,75
32,221
593,864
932,960
953,385
20,257
839,618
87,775
699,710
723,821
982,360
706,245
571,544
657,388
428,398
688,674
284,860
588,280
154,29
398,685
420,261
492,254
691,980
925,519
324,745
118,815
679,290
195,307
340,100
440,254
990,380
535,988
399,723
183,117
375,807
691,890
622,413
129,956
313,807
698,655
193,547
459,338
489,483
907,834
987,149
509,142
21,578
610,892
729
